Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		16	16	3102	0.5%	No
STPG2		3	3	1282	0.2%	No
KRT6C		7	7	2606	0.3%	No
INSL3		3	3	1573	0.2%	No
ASPM		114	94	4474	2.1%	No
OGN		14	14	3928	0.4%	No
INSIG1		5	5	1519	0.3%	No
FOXD2		1	1	216	0.5%	No
FOXM1		25	25	3890	0.6%	No
FOXE1		2	2	186	1.1%	No
FOXC2		3	3	1133	0.3%	No
FOXJ1		5	5	1435	0.3%	No
LAMA1		94	91	4376	2.1%	No
FOXE3		1	1	982	0.1%	No
FOXL1		4	4	2336	0.2%	No
INPP4A		69	65	7591	0.9%	Yes
INPP5A		4	4	2865	0.1%	No
INPP5B		28	28	3844	0.7%	No
FOXO3		51	47	6073	0.8%	Yes
INPP5D		22	21	3621	0.6%	Yes
OGDH		30	30	4055	0.7%	No
FOXO1		40	37	7705	0.5%	Yes
INPPL1		78	67	5405	1.2%	Yes
OGG1		8	8	3102	0.3%	No
FOXS1		2	2	1303	0.2%	No
PDX1		5	5	3051	0.2%	No
TNFRSF11B		13	13	3372	0.4%	No
FLNB		71	68	3950	1.7%	No
A1BG		10	10	1635	0.6%	No
FLNA		88	78	4196	1.9%	No
A2M		40	39	4196	0.9%	No
FLII		37	36	3774	1.0%	No
METRNL		15	15	3488	0.4%	No
FLI1		20	20	3795	0.5%	Yes
FLG		244	214	4339	4.9%	No
INSL4		1	1	1066	<0.1%	No
NAT1		8	8	3305	0.2%	No
OLR1		11	11	3437	0.3%	No
INSM1		2	2	402	0.5%	No
INSR		67	63	7426	0.8%	Yes
OMG		4	4	1382	0.3%	No
INSRR		38	38	3963	1.0%	No
OPA1		28	28	4011	0.7%	No
EIF3E		7	6	2555	0.2%	Yes
FLOT2		9	9	3081	0.3%	No
OPCML		11	11	3925	0.3%	No
FLNC		95	93	4230	2.2%	No
SIX6		13	13	3051	0.4%	No
IRF2		8	8	3421	0.2%	Yes
OR1D2		7	5	3051	0.2%	No
IRF3		27	23	3839	0.6%	No
OR1F1		3	3	793	0.4%	No
IRF4		31	31	5914	0.5%	Yes
OR2C1		2	2	1168	0.2%	No
CDH2		19	19	4298	0.4%	No
FMOD		5	5	2865	0.2%	No
FMO5		17	17	3895	0.4%	No
WFDC9		1	1	100	1.0%	No
FMO3		16	16	3825	0.4%	No
FMO2		23	23	3588	0.6%	No
FMO1		27	27	3761	0.7%	No
FLT4		78	70	7577	0.9%	Yes
FLT3LG		16	16	3588	0.4%	No
WFDC11		5	5	3372	0.1%	No
FLT3		93	89	9939	0.9%	Yes
FLT1		64	64	7491	0.9%	Yes
IPP		21	17	3669	0.5%	No
OPHN1		16	16	3558	0.4%	No
IRAK1		12	12	3609	0.3%	No
OPRD1		14	14	3658	0.4%	No
